person_income,loan_percent_income,person_emp_length,loan_status
85000,0.06,5.0,0
46875,0.17,1.0,0
51600,0.19,0.0,0
68004,0.24,5.0,0
62000,0.09,7.0,0
72000,0.13,14.0,0
58200,0.08,8.0,0
165000,0.15,0.0,0
24600,0.2,6.0,1
75000,0.13,14.0,0
78000,0.1,7.0,0
30000,0.33,15.0,1
23400,0.23,2.0,0
38400,0.21,0.0,0
90000,0.06,0.0,0
50000,0.05,1.0,0
53000,0.05,6.0,0
57996,0.08,1.0,0
90000,0.18,5.0,0
42000,0.1,3.0,0
37000,0.07,0.0,0
75000,0.27,0.0,0
50000,0.14,4.0,0
47600,0.5,6.0,0
39000,0.15,6.0,1
105000,0.18,4.0,0
52000,0.13,8.0,0
14400,0.17,2.0,1
60000,0.3,2.0,0
60000,0.1,1.0,0
27000,0.15,6.0,0
30000,0.13,4.0,1
77248,0.28,13.0,0
44307,0.23,6.0,1
120000,0.25,2.0,0
80000,0.08,5.0,0
70000,0.36,6.0,0
25740,0.19,3.0,0
60000,0.25,15.0,0
54000,0.11,3.0,0
96000,0.12,1.0,0
75000,0.05,2.0,0
61000,0.2,1.0,0
97000,0.07,4.0,0
62000,0.25,7.0,0
42000,0.04,2.0,0
54000,0.18,6.0,0
60000,0.1,0.0,0
36000,0.36,7.0,1
50000,0.13,3.0,0
72000,0.2,3.0,0
30000,0.11,2.0,0
33000,0.03,4.0,0
31200,0.1,3.0,0
75000,0.07,6.0,0
71820,0.25,10.0,0
25000,0.36,2.0,1
86000,0.12,4.0,0
92000,0.13,11.0,0
28800,0.15,0.0,0
31200,0.1,0.0,0
52800,0.13,3.0,0
50000,0.12,10.0,0
55000,0.13,16.0,0
90000,0.07,1.0,0
93000,0.04,1.0,1
120000,0.13,2.0,0
41160,0.1,2.0,0
81000,0.12,2.0,0
85000,0.12,0.0,0
180000,0.07,13.0,0
21000,0.2,3.0,0
70000,0.11,5.0,0
30000,0.35,2.0,1
39000,0.11,3.0,1
62000,0.06,10.0,0
45000,0.23,3.0,0
45000,0.07,9.0,0
65000,0.05,0.0,0
50004,0.06,12.0,0
62500,0.16,6.0,0
175000,0.1,2.0,0
50400,0.45,9.0,0
50000,0.1,4.0,0
85000,0.13,1.0,0
60000,0.17,4.0,0
45000,0.22,0.0,0
60000,0.22,3.0,1
85000,0.14,2.0,0
140000,0.17,12.0,0
67600,0.15,7.0,0
91800,0.05,0.0,1
113000,0.02,8.0,0
50000,0.21,6.0,0
43000,0.16,0.0,0
24000,0.21,3.0,0
69996,0.16,14.0,0
30000,0.15,7.0,0
118000,0.21,15.0,0
120000,0.06,3.0,0
54000,0.16,10.0,1
86250,0.23,5.0,0
113000,0.11,4.0,0
20400,0.37,3.0,1
75000,0.13,10.0,0
90000,0.03,3.0,0
66996,0.15,7.0,0
81400,0.1,4.0,0
55812,0.18,3.0,0
86004,0.09,16.0,0
100000,0.1,0.0,0
52000,0.05,6.0,0
90000,0.19,5.0,0
40000,0.15,2.0,0
54000,0.12,1.0,1
20000,0.25,2.0,0
72000,0.04,8.0,0
78000,0.08,5.0,1
29000,0.34,1.0,1
64000,0.09,3.0,0
55000,0.22,3.0,0
22178,0.11,3.0,0
72000,0.03,1.0,0
121000,0.02,3.0,0
40000,0.14,6.0,0
39000,0.09,6.0,1
45000,0.22,1.0,0
75000,0.16,6.0,0
72000,0.21,6.0,0
24000,0.09,0.0,0
58000,0.26,3.0,0
107400,0.23,2.0,0
29328,0.34,9.0,0
80000,0.06,2.0,0
45996,0.04,2.0,0
27600,0.04,0.0,0
62400,0.32,8.0,1
23624,0.42,6.0,1
150000,0.1,9.0,0
48000,0.07,4.0,0
24000,0.38,0.0,1
60000,0.21,4.0,0
74000,0.2,5.0,0
35000,0.29,8.0,0
74337,0.22,8.0,0
180000,0.11,11.0,1
48000,0.1,0.0,0
63996,0.19,6.0,0
67000,0.1,2.0,1
33600,0.3,5.0,0
82800,0.12,4.0,0
65000,0.22,7.0,0
43000,0.43,4.0,1
90000,0.24,11.0,0
60000,0.2,11.0,0
25200,0.16,1.0,0
40000,0.28,12.0,0
66000,0.2,1.0,0
42000,0.24,0.0,1
163000,0.06,5.0,0
36000,0.11,5.0,0
24000,0.13,4.0,0
72000,0.33,4.0,0
66000,0.04,9.0,0
99600,0.05,6.0,0
58100,0.17,4.0,0
79000,0.09,1.0,0
100000,0.25,1.0,0
40000,0.13,2.0,0
67000,0.1,3.0,0
53000,0.23,6.0,0
34000,0.18,5.0,0
80000,0.14,4.0,0
75000,0.16,17.0,0
75000,0.08,6.0,0
100300,0.21,2.0,1
85800,0.22,5.0,0
88812,0.33,6.0,0
40000,0.1,7.0,0
29000,0.27,8.0,0
46500,0.19,9.0,0
55000,0.2,5.0,0
45000,0.06,6.0,0
26400,0.06,6.0,0
27600,0.26,2.0,0
69912,0.11,9.0,0
150000,0.06,2.0,0
14400,0.17,2.0,1
53481,0.28,4.0,0
40000,0.25,10.0,0
15360,0.1,0.0,0
33600,0.28,3.0,0
12120,0.3,0.0,1
115000,0.22,10.0,0
96720,0.19,9.0,0
54000,0.06,7.0,0
29760,0.26,6.0,0
60000,0.1,5.0,0
60000,0.12,8.0,0
32388,0.19,0.0,0
30000,0.12,0.0,0
73500,0.16,1.0,1
43200,0.1,5.0,0
42000,0.06,3.0,0
36000,0.51,4.0,1
65900,0.15,2.0,0
96000,0.26,1.0,1
67600,0.24,7.0,0
91200,0.05,3.0,0
35000,0.27,6.0,0
33000,0.15,6.0,0
65000,0.11,0.0,0
70000,0.07,9.0,0
37000,0.11,0.0,0
78000,0.03,7.0,0
30000,0.4,0.0,1
135000,0.19,9.0,0
25596,0.12,12.0,0
30000,0.4,0.0,1
66500,0.06,0.0,0
140300,0.04,6.0,0
85500,0.24,8.0,0
65000,0.3,11.0,0
45000,0.21,8.0,0
72060,0.08,7.0,0
27996,0.5,2.0,1
67000,0.04,7.0,0
87000,0.04,7.0,0
54000,0.29,7.0,0
92700,0.27,2.0,0
59354,0.14,5.0,1
60000,0.33,11.0,0
49441,0.24,11.0,0
71000,0.05,6.0,1
63000,0.16,2.0,0
36000,0.03,0.0,0
48000,0.36,12.0,0
151000,0.23,8.0,0
37000,0.08,6.0,1
82000,0.1,5.0,0
42000,0.36,11.0,0
53688,0.15,11.0,0
200000,0.03,0.0,0
39000,0.13,9.0,0
105500,0.06,6.0,0
90000,0.07,11.0,0
30000,0.07,2.0,0
49000,0.31,7.0,1
92000,0.23,0.0,0
95000,0.37,7.0,0
120000,0.04,10.0,0
108717,0.15,9.0,0
54000,0.03,7.0,0
38790,0.12,0.0,0
74000,0.22,3.0,1
26000,0.08,7.0,0
150500,0.07,10.0,1
54400,0.11,2.0,1
108000,0.22,10.0,0
65004,0.26,5.0,0
238000,0.05,14.0,1
44966,0.22,3.0,0
60000,0.2,2.0,0
84000,0.14,13.0,0
120000,0.08,0.0,0
37000,0.27,0.0,0
12996,0.15,1.0,1
40000,0.35,7.0,0
36852,0.16,1.0,0
96000,0.05,1.0,0
120000,0.1,6.0,0
39500,0.25,2.0,0
108000,0.17,1.0,0
95000,0.13,0.0,0
69996,0.08,7.0,0
131000,0.03,10.0,0
60000,0.14,4.0,0
115000,0.12,7.0,0
110000,0.18,0.0,0
36000,0.14,3.0,0
60000,0.42,0.0,1
34800,0.03,1.0,0
41000,0.07,2.0,0
108600,0.14,4.0,0
145656,0.07,2.0,1
60000,0.09,0.0,0
145000,0.05,0.0,0
62000,0.45,18.0,0
60000,0.06,4.0,0
65000,0.13,4.0,0
42000,0.24,3.0,1
138000,0.02,18.0,1
31000,0.06,2.0,0
57000,0.05,11.0,0
86004,0.09,6.0,0
140000,0.09,7.0,0
54996,0.36,8.0,1
30000,0.33,8.0,0
101000,0.24,5.0,0
27000,0.33,4.0,1
93500,0.15,1.0,0
130000,0.15,2.0,0
50000,0.07,5.0,0
122004,0.08,13.0,0
65000,0.15,25.0,0
65000,0.12,5.0,0
30000,0.27,6.0,0
120000,0.17,3.0,0
80000,0.06,0.0,0
28800,0.45,23.0,0
118000,0.3,12.0,1
35496,0.17,3.0,1
88000,0.16,8.0,0
33227,0.12,2.0,0
9600,0.27,1.0,1
27456,0.34,1.0,1
65004,0.06,8.0,0
60000,0.37,3.0,1
72000,0.06,12.0,0
121200,0.01,16.0,0
38000,0.08,3.0,0
69996,0.21,7.0,0
51000,0.2,0.0,0
57460,0.18,1.0,0
18000,0.2,0.0,1
64000,0.23,6.0,0
139380,0.06,4.0,0
43896,0.55,8.0,1
64000,0.19,0.0,0
64000,0.09,5.0,0
81500,0.09,0.0,0
68000,0.11,0.0,0
50000,0.26,0.0,0
78000,0.08,1.0,0
52000,0.07,8.0,0
35500,0.11,3.0,0
120000,0.08,10.0,0
50000,0.2,2.0,0
26400,0.18,5.0,0
86400,0.03,1.0,0
116600,0.06,2.0,0
95000,0.16,0.0,0
70000,0.13,1.0,0
58000,0.07,1.0,0
30000,0.28,5.0,0
48000,0.31,7.0,0
113200,0.21,3.0,0
78000,0.1,5.0,0
36000,0.17,2.0,1
50000,0.26,16.0,0
48500,0.1,1.0,0
35000,0.07,17.0,0
65000,0.1,3.0,0
60000,0.05,5.0,0
33600,0.18,4.0,0
14400,0.48,2.0,1
47211,0.21,8.0,0
25000,0.19,1.0,0
51684,0.06,8.0,0
32000,0.2,0.0,0
24168,0.41,2.0,1
50000,0.3,1.0,0
60000,0.2,13.0,0
42000,0.19,2.0,0
45000,0.09,5.0,0
28500,0.14,9.0,0
68000,0.1,12.0,0
30000,0.13,6.0,0
48000,0.14,13.0,0
64000,0.19,0.0,0
30000,0.27,3.0,0
50000,0.04,14.0,0
90000,0.08,5.0,0
48000,0.18,7.0,0
72000,0.21,2.0,0
48996,0.2,1.0,1
55000,0.21,6.0,0
42000,0.08,0.0,0
79000,0.11,4.0,0
55000,0.27,3.0,0
120000,0.03,8.0,0
73000,0.11,3.0,1
26989,0.06,2.0,0
120000,0.04,11.0,0
76668,0.09,10.0,0
48000,0.1,9.0,0
21996,0.39,6.0,1
32000,0.19,0.0,0
39000,0.14,3.0,0
60000,0.16,4.0,0
39000,0.13,1.0,1
75000,0.03,1.0,0
57664,0.17,4.0,0
84000,0.12,1.0,0
73000,0.28,7.0,0
108000,0.04,7.0,0
30000,0.3,0.0,0
31000,0.26,2.0,1
27600,0.11,3.0,0
78500,0.1,6.0,0
40000,0.19,8.0,0
70000,0.29,5.0,0
50000,0.36,0.0,1
110000,0.22,4.0,0
175000,0.06,9.0,0
60000,0.13,6.0,0
36000,0.03,5.0,0
38004,0.32,0.0,1
82438,0.04,14.0,1
42996,0.14,5.0,1
37423,0.07,5.0,0
45996,0.28,1.0,1
80000,0.11,0.0,0
59000,0.19,2.0,0
48000,0.05,7.0,0
88000,0.1,4.0,1
55032,0.22,8.0,0
70000,0.05,3.0,0
122000,0.12,4.0,0
66000,0.04,4.0,0
306000,0.05,9.0,0
170000,0.15,14.0,0
70000,0.07,8.0,0
66000,0.08,1.0,0
37000,0.19,3.0,0
80000,0.25,13.0,0
60000,0.08,1.0,0
55000,0.18,6.0,0
130000,0.03,0.0,0
68000,0.15,0.0,0
30000,0.27,2.0,0
72000,0.17,5.0,0
150000,0.17,9.0,0
70000,0.17,0.0,0
108000,0.32,2.0,0
218000,0.03,4.0,1
80000,0.04,4.0,0
54000,0.15,7.0,0
60000,0.33,11.0,1
62000,0.16,26.0,0
83004,0.12,2.0,1
59000,0.17,6.0,0
120000,0.03,7.0,0
115000,0.03,3.0,0
165000,0.21,3.0,0
75000,0.07,3.0,0
110000,0.09,0.0,0
180000,0.13,5.0,0
48000,0.21,4.0,0
55000,0.14,6.0,0
85000,0.18,7.0,0
77000,0.29,0.0,0
26400,0.23,0.0,0
42000,0.25,0.0,0
110000,0.03,8.0,0
75000,0.13,0.0,0
7500,0.16,0.0,1
69830,0.21,3.0,0
29000,0.23,11.0,0
92795,0.2,10.0,0
65000,0.09,3.0,0
24996,0.4,3.0,1
49000,0.12,2.0,1
37000,0.07,2.0,1
65000,0.26,0.0,0
96050,0.31,3.0,1
26400,0.3,8.0,0
36000,0.35,8.0,1
190000,0.05,3.0,0
50000,0.16,2.0,0
35000,0.05,12.0,0
43590,0.18,8.0,1
85000,0.16,7.0,0
35000,0.1,7.0,0
57800,0.09,2.0,1
110888,0.09,0.0,0
52000,0.25,5.0,0
55000,0.09,9.0,0
32000,0.13,2.0,0
75555,0.13,4.0,0
15600,0.16,3.0,1
170000,0.07,1.0,0
50000,0.36,9.0,0
58000,0.12,5.0,0
139008,0.11,2.0,0
42000,0.21,3.0,0
37157,0.26,4.0,0
54000,0.24,2.0,0
48000,0.1,0.0,0
21600,0.37,3.0,1
88000,0.11,7.0,0
57000,0.17,5.0,0
25000,0.45,4.0,1
73000,0.23,11.0,0
75000,0.13,8.0,0
102996,0.06,4.0,0
115000,0.02,0.0,0
101000,0.15,0.0,1
29000,0.31,1.0,1
69000,0.13,1.0,1
135000,0.08,8.0,0
78000,0.06,3.0,0
69780,0.09,3.0,0
38400,0.18,4.0,0
30000,0.1,8.0,0
27096,0.18,7.0,1
32000,0.22,2.0,1
35000,0.43,11.0,0
60000,0.15,2.0,0
70000,0.14,9.0,0
86400,0.09,12.0,0
135000,0.1,8.0,0
200004,0.03,19.0,0
71004,0.03,0.0,0
35000,0.18,3.0,0
140000,0.18,11.0,0
51888,0.13,13.0,0
90000,0.13,1.0,0
135000,0.15,4.0,0
80000,0.11,5.0,0
80000,0.44,2.0,1
74000,0.34,20.0,1
75000,0.1,0.0,0
42000,0.33,0.0,1
30996,0.14,18.0,0
114000,0.17,4.0,0
101000,0.07,2.0,0
143004,0.07,17.0,0
18000,0.39,17.0,1
50000,0.02,2.0,0
26400,0.45,12.0,1
50004,0.17,5.0,0
62000,0.16,15.0,1
34000,0.38,4.0,0
108000,0.06,0.0,1
73000,0.16,7.0,0
51000,0.31,8.0,1
24000,0.25,0.0,0
92259,0.07,4.0,0
38000,0.17,2.0,1
80000,0.14,10.0,0
238000,0.04,2.0,1
65000,0.06,0.0,0
60000,0.13,3.0,0
20000,0.25,1.0,0
56400,0.15,3.0,1
45000,0.32,14.0,1
60000,0.28,1.0,0
52000,0.15,0.0,0
58000,0.12,11.0,0
25716,0.36,1.0,1
63000,0.24,0.0,0
59000,0.04,0.0,1
294000,0.05,6.0,0
59300,0.05,1.0,0
47004,0.12,2.0,0
140000,0.21,5.0,0
47000,0.11,2.0,0
200000,0.09,0.0,0
85272,0.06,7.0,0
57120,0.05,3.0,0
55812,0.39,4.0,0
39996,0.25,8.0,0
47472,0.42,6.0,0
30000,0.2,1.0,1
65000,0.07,11.0,0
42000,0.05,1.0,1
51420,0.16,6.0,0
55000,0.09,9.0,0
55000,0.07,5.0,0
70000,0.26,3.0,0
100000,0.15,11.0,0
110000,0.18,2.0,0
71000,0.02,6.0,0
48000,0.09,3.0,0
63000,0.16,2.0,0
29000,0.09,7.0,0
75000,0.21,21.0,1
147884,0.03,4.0,0
96000,0.06,6.0,0
61000,0.25,2.0,1
25000,0.32,1.0,0
43000,0.08,5.0,0
62000,0.16,1.0,0
19200,0.21,1.0,1
42000,0.17,10.0,0
32000,0.2,0.0,0
90000,0.08,6.0,0
158000,0.13,10.0,0
33600,0.03,5.0,0
36000,0.28,1.0,0
32000,0.25,1.0,0
30000,0.33,2.0,1
100000,0.07,8.0,0
19680,0.39,2.0,1
56056,0.1,3.0,0
60400,0.09,5.0,0
75000,0.09,2.0,0
85000,0.24,3.0,0
48000,0.37,0.0,1
14400,0.41,2.0,1
40000,0.23,5.0,0
34000,0.41,6.0,1
80000,0.17,9.0,0
201450,0.03,2.0,1
75000,0.02,5.0,0
36000,0.15,4.0,0
60000,0.11,0.0,0
31200,0.1,1.0,0
45000,0.27,2.0,0
56000,0.18,16.0,0
76500,0.1,0.0,1
26400,0.19,0.0,0
30000,0.13,3.0,1
90000,0.04,9.0,0
30000,0.33,1.0,0
60000,0.17,9.0,1
39760,0.3,0.0,1
14800,0.19,5.0,1
107004,0.04,6.0,0
62900,0.22,1.0,1
39996,0.05,2.0,0
41682,0.43,7.0,1
18000,0.22,3.0,1
60000,0.23,2.0,0
108000,0.07,2.0,0
57000,0.11,2.0,0
54252,0.06,6.0,0
90000,0.11,0.0,0
34860,0.06,0.0,0
67000,0.18,5.0,0
75000,0.07,0.0,0
91000,0.2,9.0,0
84996,0.11,0.0,0
144000,0.08,11.0,0
95000,0.03,2.0,0
87504,0.14,14.0,0
72000,0.17,12.0,1
76000,0.07,5.0,1
84000,0.12,7.0,0
61900,0.02,4.0,0
102000,0.1,6.0,0
55000,0.02,15.0,0
30000,0.17,6.0,0
63000,0.12,5.0,0
49700,0.14,2.0,1
54000,0.15,4.0,0
54860,0.09,0.0,0
50004,0.28,5.0,0
49896,0.34,7.0,1
164000,0.05,11.0,0
62050,0.05,0.0,1
120000,0.13,2.0,0
69736,0.04,17.0,0
150000,0.05,9.0,0
60000,0.08,1.0,0
57840,0.24,5.0,0
36000,0.13,5.0,0
57700,0.18,2.0,1
35000,0.11,1.0,0
56400,0.13,1.0,0
79416,0.08,12.0,0
66000,0.11,4.0,0
50000,0.26,3.0,0
140000,0.12,4.0,0
28644,0.35,2.0,0
45000,0.17,10.0,1
61000,0.33,7.0,0
93000,0.13,0.0,0
44004,0.27,9.0,0
48000,0.1,9.0,0
48000,0.35,6.0,1
28000,0.06,18.0,0
91800,0.14,1.0,1
72500,0.18,7.0,0
42240,0.19,10.0,0
30000,0.23,4.0,0
123996,0.08,9.0,0
37000,0.27,4.0,0
185232,0.19,10.0,0
93000,0.02,3.0,0
115000,0.04,11.0,0
24000,0.17,0.0,0
43108,0.17,7.0,0
135000,0.07,9.0,0
62100,0.1,8.0,0
110000,0.11,7.0,0
28968,0.17,1.0,0
119500,0.03,8.0,0
125000,0.08,6.0,0
67000,0.1,0.0,0
48800,0.31,3.0,1
58650,0.29,4.0,1
63440,0.32,7.0,0
52000,0.19,6.0,0
72000,0.29,2.0,0
44000,0.13,3.0,0
30000,0.2,6.0,0
70000,0.17,9.0,0
27996,0.2,3.0,0
80000,0.12,3.0,0
48000,0.22,2.0,0
37596,0.32,3.0,0
24000,0.51,4.0,1
36000,0.42,6.0,1
66300,0.32,3.0,1
175000,0.05,3.0,0
68004,0.09,2.0,0
50000,0.14,2.0,0
103044,0.1,8.0,1
47000,0.28,2.0,0
140000,0.07,12.0,0
14400,0.14,4.0,0
200000,0.09,19.0,0
55600,0.16,14.0,0
27996,0.18,4.0,0
89700,0.07,1.0,0
24000,0.29,0.0,0
30000,0.2,1.0,1
70000,0.17,9.0,0
36000,0.03,6.0,0
29760,0.29,1.0,0
75000,0.2,0.0,0
45000,0.15,2.0,0
102000,0.06,2.0,0
69996,0.36,9.0,1
89772,0.07,8.0,0
45000,0.11,1.0,0
65000,0.06,2.0,0
78000,0.26,8.0,0
45344,0.37,11.0,0
21000,0.36,7.0,0
50000,0.24,4.0,0
67920,0.48,13.0,1
41500,0.12,3.0,0
47000,0.21,2.0,0
34000,0.38,2.0,1
75000,0.04,3.0,0
100000,0.09,7.0,0
44000,0.05,2.0,0
35040,0.06,11.0,0
43000,0.26,9.0,0
80000,0.15,12.0,0
54000,0.02,4.0,1
86000,0.15,10.0,0
32004,0.05,2.0,1
32000,0.27,2.0,1
78000,0.08,0.0,0
48000,0.17,5.0,0
36000,0.11,3.0,0
19404,0.21,0.0,1
73000,0.16,1.0,1
60000,0.06,1.0,0
32496,0.18,4.0,0
36000,0.13,3.0,0
32500,0.09,8.0,0
300000,0.03,0.0,0
34600,0.2,5.0,0
60000,0.4,5.0,1
47652,0.05,6.0,0
74400,0.1,21.0,0
50000,0.2,4.0,0
30000,0.47,3.0,1
41303,0.24,4.0,0
90000,0.06,2.0,0
35000,0.37,10.0,1
90000,0.13,0.0,0
65000,0.43,4.0,1
54996,0.22,6.0,0
80000,0.44,0.0,1
70000,0.11,4.0,0
57000,0.09,5.0,0
77000,0.1,6.0,0
37200,0.08,2.0,1
50000,0.11,4.0,0
26400,0.3,4.0,0
35000,0.14,5.0,0
45996,0.2,5.0,0
81000,0.17,5.0,0
29120,0.19,0.0,0
78000,0.08,7.0,0
28800,0.31,6.0,0
59000,0.09,18.0,0
120000,0.05,16.0,0
65500,0.26,3.0,0
325000,0.06,14.0,0
62000,0.21,5.0,0
30988,0.08,0.0,0
97000,0.26,5.0,0
59000,0.42,5.0,1
74400,0.05,1.0,0
60000,0.4,9.0,0
55000,0.22,3.0,0
29000,0.34,0.0,1
44400,0.11,1.0,0
90000,0.13,2.0,0
83000,0.12,1.0,0
15000,0.12,1.0,0
43200,0.23,0.0,0
60000,0.07,5.0,0
60000,0.03,5.0,0
110000,0.22,10.0,0
87000,0.1,4.0,0
49000,0.1,7.0,1
65000,0.15,4.0,0
42000,0.07,4.0,0
73000,0.13,5.0,0
8500,0.53,7.0,1
74004,0.18,13.0,0
33000,0.43,1.0,1
78000,0.12,4.0,0
235000,0.11,3.0,0
35000,0.2,1.0,0
33000,0.21,10.0,0
39996,0.28,3.0,0
30000,0.12,0.0,0
48132,0.21,5.0,0
31200,0.38,6.0,1
35138,0.03,3.0,0
44000,0.07,4.0,0
31200,0.13,4.0,0
51000,0.14,5.0,0
65004,0.23,4.0,0
39516,0.13,0.0,0
35000,0.21,6.0,0
101000,0.15,8.0,0
82400,0.03,10.0,0
61547,0.39,1.0,0
100000,0.15,16.0,0
140000,0.16,10.0,0
75000,0.32,7.0,1
83000,0.09,13.0,0
66560,0.04,10.0,0
40000,0.08,3.0,0
47000,0.09,9.0,0
53000,0.08,0.0,0
16800,0.3,4.0,1
57000,0.07,6.0,0
103641,0.05,8.0,0
74000,0.41,2.0,1
57000,0.11,2.0,0
34500,0.06,8.0,0
28800,0.22,6.0,0
61200,0.18,3.0,1
64000,0.08,7.0,0
55000,0.09,3.0,0
24600,0.08,5.0,0
54996,0.09,0.0,0
113000,0.18,0.0,1
32000,0.07,2.0,1
70000,0.11,0.0,0
30996,0.26,2.0,0
61000,0.26,3.0,0
55000,0.08,1.0,0
53117,0.04,1.0,0
40000,0.3,3.0,0
24000,0.2,4.0,0
75000,0.25,3.0,0
51996,0.28,3.0,1
59623,0.05,9.0,1
48996,0.12,6.0,0
69000,0.17,2.0,1
41000,0.16,1.0,1
45000,0.22,4.0,0
48000,0.31,1.0,1
60000,0.05,12.0,0
40000,0.2,8.0,0
54000,0.1,4.0,0
36000,0.22,9.0,1
120000,0.04,6.0,0
40000,0.04,1.0,0
39996,0.06,2.0,0
76404,0.16,14.0,0
81000,0.13,10.0,0
115000,0.13,8.0,0
15996,0.25,8.0,1
28000,0.12,2.0,1
64000,0.16,2.0,1
116000,0.17,10.0,0
72444,0.35,7.0,0
92000,0.22,2.0,0
48000,0.06,4.0,0
70000,0.06,7.0,0
96000,0.05,0.0,0
72000,0.09,7.0,0
50004,0.24,3.0,0
70000,0.17,3.0,0
60000,0.12,0.0,0
62000,0.16,6.0,0
7000,0.14,2.0,0
150000,0.1,12.0,0
64600,0.11,7.0,0
56100,0.29,13.0,0
54800,0.15,7.0,0
65000,0.15,13.0,0
45792,0.37,3.0,1
67150,0.13,5.0,1
42000,0.07,6.0,0
45000,0.33,5.0,0
70000,0.17,4.0,0
78504,0.32,7.0,1
40000,0.09,3.0,0
12500,0.17,0.0,1
65000,0.07,6.0,0
33000,0.38,5.0,0
7904,0.06,0.0,0
50000,0.1,7.0,0
60000,0.17,2.0,0
95000,0.05,4.0,0
54000,0.09,8.0,1
52800,0.08,1.0,0
30000,0.14,3.0,0
63600,0.08,5.0,1
133000,0.07,3.0,0
56900,0.44,9.0,0
46739,0.24,0.0,0
50000,0.12,3.0,0
52000,0.27,0.0,0
84000,0.36,10.0,0
76000,0.06,17.0,0
40000,0.07,7.0,0
150000,0.19,1.0,0
38000,0.47,4.0,0
70224,0.3,1.0,0
33000,0.15,6.0,0
56000,0.21,3.0,0
80000,0.16,5.0,0
105600,0.14,7.0,0
56004,0.17,9.0,0
54996,0.18,0.0,0
30000,0.08,3.0,1
96300,0.19,1.0,0
105000,0.08,0.0,0
130000,0.18,2.0,0
52000,0.19,1.0,0
26400,0.12,14.0,1
51504,0.2,3.0,0
42000,0.36,5.0,1
29400,0.41,0.0,1
58000,0.14,4.0,0
26085,0.18,2.0,0
48000,0.1,7.0,0
24000,0.3,3.0,0
57912,0.1,7.0,0
40000,0.3,0.0,0
89000,0.17,7.0,0
51000,0.24,3.0,1
44400,0.03,0.0,1
84300,0.14,4.0,0
16800,0.3,1.0,1
33996,0.29,4.0,0
31000,0.42,2.0,1
33000,0.12,2.0,1
70000,0.34,2.0,0
112800,0.14,2.0,1
89250,0.19,0.0,1
40000,0.25,2.0,0
138000,0.05,3.0,0
55692,0.1,5.0,0
21600,0.18,2.0,0
39000,0.21,12.0,0
50500,0.24,1.0,0
58033,0.14,4.0,0
48996,0.1,0.0,1
150000,0.05,4.0,0
150000,0.05,11.0,0
45240,0.07,4.0,0
40800,0.03,8.0,0
62000,0.03,6.0,0
57000,0.17,5.0,1
64800,0.03,5.0,0
27600,0.12,2.0,0
36000,0.03,5.0,0
27996,0.29,0.0,1
98004,0.12,25.0,0
49152,0.06,7.0,0
50000,0.15,5.0,0
64000,0.07,8.0,1
50004,0.2,6.0,0
67000,0.18,2.0,0
57996,0.09,1.0,0
117000,0.09,8.0,0
50000,0.24,5.0,0
52500,0.19,14.0,1
44928,0.02,5.0,0
35000,0.17,1.0,0
67000,0.04,7.0,0
52000,0.06,6.0,0
18000,0.39,5.0,1
34320,0.2,5.0,1
54000,0.13,6.0,0
51000,0.33,6.0,0
52000,0.15,10.0,0
60000,0.05,4.0,0
225000,0.11,2.0,0
50000,0.12,4.0,0
69996,0.14,6.0,0
84000,0.18,11.0,0
